,Date,Open,High,Low,Close,Volume
179,2022-06-29,1823.49,1834.0,1818.82,1823.7,189.64673081
180,2022-06-30,1823.8,1825.98,1806.47,1814.32,175.8689815
181,2022-07-01,1814.31,1820.0,1780.0,1804.81,275.42615086
182,2022-07-02,1805.8,1814.2,1802.96,1811.82,123.01079127
183,2022-07-03,1808.88,1815.0,1802.07,1811.99,145.97608386
184,2022-07-04,1811.98,1816.74,1703.47,1812.0,222.49396716
185,2022-07-05,1811.66,1817.52,1766.0,1771.24,243.51090308
186,2022-07-06,1770.62,1776.47,1728.02,1745.03,141.7336386
187,2022-07-07,1743.33,1749.8,1729.87,1740.86,89.57061513
188,2022-07-08,1740.49,1755.93,1733.88,1742.11,77.54881539
189,2022-07-09,1741.75,1744.77,1734.97,1739.03,38.04137364
190,2022-07-10,1738.98,1745.96,1727.28,1743.1,58.50010019
191,2022-07-11,1742.3,1748.47,1704.1,1731.64,62.00017731
192,2022-07-12,1731.38,1744.1,1718.63,1725.41,86.0265713
193,2022-07-13,1724.55,1745.55,1706.24,1736.98,122.95129187
194,2022-07-14,1736.27,1738.45,1702.87,1714.71,67.84348774
195,2022-07-15,1713.32,1717.51,1699.97,1704.51,83.8970523
196,2022-07-16,1704.51,1709.67,1550.0,1698.01,239.14059605
197,2022-07-17,1695.61,1706.62,1686.66,1705.4,92.63019646
198,2022-07-18,1703.82,1722.8,1703.0,1707.3,131.87922531
199,2022-07-19,1707.3,1715.35,1690.57,1705.58,119.58965006
200,2022-07-20,1704.65,1711.04,1688.0,1694.55,74.99088286
201,2022-07-21,1694.55,1717.03,1679.04,1715.44,69.78307744
202,2022-07-22,1716.27,1731.79,1710.45,1728.18,76.0806754
203,2022-07-23,1726.17,1730.75,1720.55,1725.59,85.75379135
204,2022-07-24,1725.54,1728.15,1720.52,1720.75,27.71008021
205,2022-07-25,1720.7,1727.0,1711.87,1712.05,42.97514942
206,2022-07-26,1712.05,1724.7,1707.13,1717.58,81.38686412
207,2022-07-27,1717.58,1735.68,1711.87,1733.0,77.43178736
208,2022-07-28,1733.0,1756.84,1731.37,1746.56,89.42607988
209,2022-07-29,1748.64,1799.97,1714.18,1758.2,133.42334612
210,2022-07-30,1763.01,1766.61,1756.99,1763.27,38.34330618
211,2022-07-31,1763.21,1767.82,1757.9,1759.51,54.63901469
212,2022-08-01,1760.58,1772.53,1756.66,1771.02,44.08936517
213,2022-08-02,1770.98,1785.5,1749.28,1749.94,98.5536539
214,2022-08-03,1751.42,1770.93,1748.65,1757.14,117.29262696
215,2022-08-04,1755.51,1789.09,1725.93,1787.58,127.39408635
216,2022-08-05,1786.49,1789.8,1763.15,1772.39,60.14658481
217,2022-08-06,1771.59,1772.76,1764.69,1765.07,24.30146818
218,2022-08-07,1767.88,1770.22,1759.89,1765.4,37.55132607
219,2022-08-08,1765.46,1787.99,1765.43,1779.41,129.3085046
220,2022-08-09,1779.78,1795.56,1776.04,1791.21,84.22985804
221,2022-08-10,1789.27,1802.5,1782.41,1788.84,69.64679854
222,2022-08-11,1786.58,1791.61,1777.21,1777.5,47.48514708
223,2022-08-12,1779.31,1796.75,1776.4,1795.79,39.41546713
224,2022-08-13,1795.33,1802.65,1787.75,1793.3,94.43075695
225,2022-08-14,1791.67,1796.62,1783.8,1790.0,56.98485521
226,2022-08-15,1790.78,1793.94,1767.81,1772.35,81.94678699
227,2022-08-16,1772.33,1776.76,1766.11,1768.87,27.18422169
228,2022-08-17,1769.31,1776.89,1753.7,1755.48,48.89768624
229,2022-08-18,1756.6,1763.39,1750.0,1750.0,29.52800847
230,2022-08-19,1750.94,1751.69,1734.26,1737.54,97.36178526
231,2022-08-20,1737.72,1742.4,1731.01,1737.61,49.93588104
232,2022-08-21,1738.82,1742.56,1734.65,1741.0,56.56813905
233,2022-08-22,1740.0,1740.64,1719.31,1733.28,129.27611176
234,2022-08-23,1731.74,1748.7,1726.05,1743.31,41.80928642
235,2022-08-24,1746.24,1752.49,1738.45,1743.02,46.64011854
236,2022-08-25,1743.09,1758.21,1742.25,1752.45,23.15187283
237,2022-08-26,1750.26,1751.22,1724.54,1727.6,51.58894357
238,2022-08-27,1726.34,1732.49,1723.82,1730.54,33.46562026
239,2022-08-28,1727.92,1737.15,1719.99,1721.45,92.09499853
240,2022-08-29,1721.38,1745.68,1711.0,1729.78,53.809444
241,2022-08-30,1728.08,1730.0,1711.04,1713.15,45.18970542
242,2022-08-31,1715.4,1721.6,1702.0,1702.0,90.79218672
243,2022-09-01,1702.0,1706.6,1683.28,1692.5,47.03780756
244,2022-09-02,1692.37,1707.69,1689.99,1701.37,56.4046482
245,2022-09-03,1701.29,1705.34,1699.42,1704.79,23.90530293
246,2022-09-04,1704.79,1707.51,1699.58,1706.39,77.59605381
247,2022-09-05,1705.51,1709.06,1698.17,1707.66,56.88788372
248,2022-09-06,1706.61,1718.4,1684.46,1693.03,104.45367226
249,2022-09-07,1692.99,1714.19,1683.28,1708.68,49.5094965
250,2022-09-08,1708.83,1719.82,1697.24,1702.33,57.13018444
251,2022-09-09,1702.34,1725.0,1702.34,1709.26,72.13761769
252,2022-09-10,1708.1,1715.38,1707.35,1713.28,41.52521944
253,2022-09-11,1713.95,1718.38,1704.58,1714.38,49.54312784
254,2022-09-12,1714.23,1732.82,1705.73,1718.04,58.73846257
255,2022-09-13,1718.96,1727.21,1690.85,1692.45,147.28619575
256,2022-09-14,1692.5,1699.0,1685.61,1688.53,64.89300697
257,2022-09-15,1689.54,1690.61,1650.01,1653.23,160.36708048
258,2022-09-16,1653.26,1669.0,1518.69,1665.52,158.61124508
259,2022-09-17,1665.22,1669.13,1662.0,1667.08,45.64449507
260,2022-09-18,1665.82,1670.35,1662.46,1669.64,26.08501451
261,2022-09-19,1669.67,1669.67,1647.5,1666.43,207.18780173
262,2022-09-20,1667.44,1668.86,1652.26,1655.53,40.0763336
263,2022-09-21,1655.53,1679.75,1643.66,1661.01,153.3796
264,2022-09-22,1659.88,1672.88,1645.2,1664.63,108.7671
265,2022-09-23,1663.64,1669.62,1632.54,1636.69,111.9862
266,2022-09-24,1636.79,1638.83,1634.4,1636.77,43.915
267,2022-09-25,1638.06,1644.62,1629.72,1633.08,29.3902
268,2022-09-26,1633.05,1640.9,1612.33,1617.76,54.0694
269,2022-09-27,1619.25,1633.23,1614.6,1619.83,149.6344
270,2022-09-28,1620.41,1656.24,1603.52,1645.65,155.1154
271,2022-09-29,1647.83,1655.48,1629.55,1655.48,47.6206
272,2022-09-30,1655.48,1669.0,1650.5,1652.64,65.428
273,2022-10-01,1654.74,1656.92,1652.06,1655.77,11.0398
274,2022-10-02,1655.76,1657.85,1648.97,1653.7,30.0875
